Date,High,Low,Open,Close,Volume,Adj Close,Return,Change,Volatility,MA7,MA21,Momentum,MACD,Signal,Upper_band,Lower_band
2017-02-21,104.46666717529295,102.06666564941406,102.66666412353516,103.06666564941406,5097706.0,94.43479919433594,0.004,0.7666625976562642,5.967566129645942,102.7999997820173,97.62539672851562,99.23332977294922,4.046454867577779,4.068695126497451,110.6115761753433,84.63921728168795
2017-02-22,105.26666259765624,102.5999984741211,103.93333435058594,102.86666870117188,9082795.0,94.25154113769531,-0.01,-0.1999969482421875,5.83039649737021,102.71904754638672,98.45079367501395,99.23332977294922,3.8855454037032047,4.032065181938601,110.3684303791474,86.53315697088051
2017-02-23,103.83333587646484,101.66666412353516,102.83333587646484,102.3000030517578,13964640.0,93.73234558105469,-0.005,-0.5666656494140767,5.67088516273065,102.34285736083984,99.13968258812314,99.3000030517578,3.6699929183359217,3.959650729218066,110.11483998247411,88.16452519377216
2017-02-27,103.26666259765624,101.23332977294922,102.0,101.86666870117188,4069939.0,93.33528900146484,-0.001,-0.4333343505859233,5.502658419229347,102.40952410016742,99.8031747000558,100.06666564941406,3.4247215024790734,3.8526648838702675,109.54873732269755,90.05761207741406
2017-02-28,109.1999969482422,101.53333282470705,101.53333282470705,108.3000030517578,16553127.0,99.2298355102539,0.067,6.433334350585923,5.742256122649723,103.27619171142578,100.52857171921502,99.86666870117188,3.7067295835214082,3.823477823800496,110.43458276771037,90.62256067071968
2017-03-01,109.53333282470705,106.4000015258789,108.66666412353516,106.83333587646484,11957178.0,97.88600158691406,-0.017,-1.4666671752929545,5.787465091042979,103.93333544049945,101.23492104666573,99.3000030517578,3.768435062280247,3.8124692714964463,110.69199536331477,91.77784673001669
2017-03-02,109.5,105.0999984741211,108.0,105.46666717529295,9601747.0,96.6337890625,-0.023,-1.3666687011718892,5.720296946963291,104.38571602957589,101.90634954543341,98.86666870117188,3.664812677028806,3.7829379526029183,110.37085665793342,93.44184243293341
2017-03-03,106.93333435058594,103.86666870117188,104.63333129882812,105.43333435058594,9024568.0,96.6032485961914,0.008,-0.03333282470701704,5.641580128387398,104.72381155831474,102.48571486700149,105.3000030517578,3.5392037717751066,3.734191116437356,110.08816035323092,94.88326938077206
2017-03-06,108.13333129882812,105.66666412353516,105.76666259765624,107.36666870117188,7208899.0,98.37466430664062,0.015,1.9333343505859375,5.6610851548453365,105.36666870117188,103.1857150849842,103.83333587646484,3.5546855318449957,3.698289999518884,109.60608630906921,96.76534386089918
2017-03-07,109.56666564941406,106.3000030517578,108.0,106.76666259765624,10594942.0,97.82491302490234,-0.011,-0.6000061035156392,5.622513241306005,106.0047629220145,103.73968324207124,102.46666717529295,3.478442144361807,3.654320428487469,109.17371744556797,98.3056490385745
